soc_percent,p_net_w,irradiance_wm2,weather_index,demand_index,centroid,fis_mode
1.0,45.0,850.0,0.85,0.85,0.3147,M0
1.0,50.0,850.0,0.85,0.85,0.3147,M0
1.0,55.0,850.0,0.85,0.85,0.3147,M0
1.0,60.0,850.0,0.85,0.85,0.3147,M0
1.0,65.0,850.0,0.85,0.85,0.3147,M0
1.0,70.0,850.0,0.85,0.85,0.3147,M0
1.0,75.0,850.0,0.85,0.85,0.3147,M0
1.0,80.0,850.0,0.85,0.85,0.3147,M0
1.0,85.0,850.0,0.85,0.85,0.3147,M0
1.0,90.0,850.0,0.85,0.85,0.3147,M0
1.0,95.0,850.0,0.85,0.85,0.3147,M0
1.0,100.0,850.0,0.85,0.85,0.3147,M0
1.0,105.0,850.0,0.85,0.85,0.3147,M0
1.0,110.0,850.0,0.85,0.85,0.3147,M0
1.0,115.0,850.0,0.85,0.85,0.3147,M0
1.0,120.0,850.0,0.85,0.85,0.3147,M0
1.0,125.0,850.0,0.85,0.85,0.3147,M0
1.0,130.0,850.0,0.85,0.85,0.3147,M0
1.0,135.0,850.0,0.85,0.85,0.3147,M0
1.0,140.0,850.0,0.85,0.85,0.3147,M0
1.0,145.0,850.0,0.85,0.85,0.3147,M0
1.0,150.0,850.0,0.85,0.85,0.3147,M0
1.0,155.0,850.0,0.85,0.85,0.3147,M0
1.0,160.0,850.0,0.85,0.85,0.3147,M0
1.0,165.0,850.0,0.85,0.85,0.3147,M0
1.0,170.0,850.0,0.85,0.85,0.3147,M0
1.0,175.0,850.0,0.85,0.85,0.3147,M0
1.0,180.0,850.0,0.85,0.85,0.3147,M0
1.0,185.0,850.0,0.85,0.85,0.3147,M0
1.0,190.0,850.0,0.85,0.85,0.3147,M0
1.0,195.0,850.0,0.85,0.85,0.3147,M0
1.0,200.0,850.0,0.85,0.85,0.3147,M0
1.0,205.0,850.0,0.85,0.85,0.3147,M0
1.0,210.0,850.0,0.85,0.85,0.3147,M0
1.0,215.0,850.0,0.85,0.85,0.3147,M0
1.0,220.0,850.0,0.85,0.85,0.3147,M0
1.0,225.0,850.0,0.85,0.85,0.3147,M0
1.0,230.0,850.0,0.85,0.85,0.3147,M0
1.0,235.0,850.0,0.85,0.85,0.3147,M0
1.0,240.0,850.0,0.85,0.85,0.3147,M0
1.0,245.0,850.0,0.85,0.85,0.3147,M0
1.0,250.0,850.0,0.85,0.85,0.3147,M0
1.0,255.0,850.0,0.85,0.85,0.3147,M0
1.0,260.0,850.0,0.85,0.85,0.3147,M0
1.0,265.0,850.0,0.85,0.85,0.3147,M0
1.0,270.0,850.0,0.85,0.85,0.3147,M0
1.0,275.0,850.0,0.85,0.85,0.3147,M0
